community,type,post_id,text,likes,reposts,views,date
arzamas.academy,comment,155140,Вообще в мире нет ни одного заметного литератора умеренного в грехах. КромеВиктора  Пелевина и Козьмы Пруткова)),0,,,2026-05-01 01:16:43
arzamas.academy,post,155135,"Ларсу фон Триеру — 70!

Поиск Абсолюта, виртуозная манипулятивность, помешанность на контроле и осколок кости во взбитых сливках. Рассказываем о картинах самого скандального и яркого режиссера в современном кино. 

Ларс фон Триер: как начать смотреть его фильмы
https://arzamas.academy/mag/961-trier?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel

Лучшее неигровое кино Феллини, Скорсезе, Михалкова и других
https://arzamas.academy/materials/1713?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Вся история кино с 1945 по 2026 год в одной таблице
https://arzamas.academy/mag/529-cinema?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Ларс фон Триер. 2003 год
© Оливер Марк",247,87.0,22411.0,2026-04-30 11:15:05
arzamas.academy,comment,155135,Chaos reigns,0,,,2026-04-30 14:00:20
arzamas.academy,comment,155135,Любимый режиссёр! 💥,2,,,2026-04-30 14:10:30
arzamas.academy,comment,155135,Минаев охуенен,1,,,2026-04-30 20:22:10
arzamas.academy,post,155130,"Что такое семь печатей, семь чаш и семь труб? И почему на самом деле их описания иллюстрируют одни и те же события с трех разных ракурсов?

Последняя лекция курса «Апокалипсис. Как правильно его ждать» посвящена расшифровке основных символов и загадок Откровения Иоанна Богослова: вавилонской блудницы, войны ангелов с драконом, агнца и жены, одетой в солнце.

Слушайте лекцию на нашем сайте и в приложении «Радио Arzamas»: https://open.arzamas.academy/a/2187/15444?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",31,19.0,8363.0,2026-04-29 19:00:07
arzamas.academy,post,155129,"Международный день танца! 

Чем танец отличается от обычного движения? Как с помощью него показать войну, жертвоприношение, веру и свободу? Что самое сложное в постановке балета? И можно ли перепутать балет с оперой? Ответы — в подборке! 

Курс «Что такое современный танец»
https://open.arzamas.academy/a/1491?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Курс «Айседора Дункан и ее свободный танец»
https://open.arzamas.academy/a/2160?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Спецпроект «Как устроен балет»
https://arzamas.academy/special/shaherezada?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

История современного танца в 31 постановке
https://arzamas.academy/materials/1452?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Что танцевали в XX веке
https://arzamas.academy/materials/1443?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

10 образов современного танца в поп-культуре
https://arzamas.academy/materials/1421?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel

9 языков современного танца
https://arzamas.academy/materials/1454?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Чтение на 15 минут: «Танцтеатр Пины Бауш: искусство перевода»
https://arzamas.academy/mag/1016-pinabausch?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Тест: Отличите балет от оперы
https://arzamas.academy/materials/1453?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Луи Жанмо. Поэма души. Лучи солнечного света. 1854 год",45,10.0,7917.0,2026-04-29 15:00:10
arzamas.academy,post,155127,"Если вас обуял страх или вы оцепенели от ужаса, скорее задумайтесь, в чем разница между страхом и ужасом. Имеют ли к этому отношение сыновья Марса, что бы на этот счет сказали структуралисты и как бы все выразили обэриуты. Это займет ваши мысли, и станет легче.

Еще один способ отвлечься — включить новый выпуск «Неловкой паузы», в котором Наташа с Кириллом обсуждают страх перед двойниками, неизвестностью, осьминогами, желе и прочими ужасами.",21,6.0,6481.0,2026-04-29 11:57:47
arzamas.academy,comment,155127,Эпизод можно также послушать бесплатно у нас на сайте и в приложении «Радио Arzamas»: https://open.arzamas.academy/a/2073/15453?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel,0,,,2026-04-29 11:59:47
arzamas.academy,post,155121,"Что можно вычитать в Откровении Иоанна Богослова: татаро-монгольское нашествие, Наполеоновские войны, Октябрьскую революцию, самые актуальные мировые бедствия.

Что не нужно вычитывать в Откровении Иоанна Богослова: все это.

О том, что же на самом деле написано в тексте Апокалипсиса, слушайте в четвертой лекции курса библеиста Анны Шмаиной-Великановой: https://open.arzamas.academy/a/2187/15443?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",41,12.0,10975.0,2026-04-28 19:30:12
arzamas.academy,post,155115,"Хорошо ли вы себе представляете, как устроено бракосочетание в Индии? Давайте проверим!

В подкасте «Радио „Сарафан“» филолог Татьяна Дубянская рассказывает, как индийское кино совмещает представления о романтической любви с традиционным подходом к браку: https://open.arzamas.academy/a/2039/15401?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",11,2.0,7897.0,2026-04-28 16:35:00
arzamas.academy,comment,155115,"Правильный ответ
.
.
.
.
.
.
.
.
В Индии до сих пор сложно представить себе брак, совершенный без предварительной договоренности между семьями. Конечно, ситуация меняется, сейчас можно встретить полудоговорные браки, где мнение молодоженов также учитывается, но на союз против воли семьи мало кто решится.",3,,,2026-04-28 16:50:58
arzamas.academy,post,155113,"Хорошо ли вы себе представляете, как устроено бракосочетание в Индии? Давайте проверим!

В подкасте «Радио „Сарафан“» филолог Татьяна Дубянская рассказывает, как индийское кино совмещает представления о романтической любви с традиционным подходом к браку: https://open.arzamas.academy/a/2039/15401?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",11,1.0,7917.0,2026-04-28 16:15:07
arzamas.academy,comment,155113,"Правильный ответ
.
.
.
.
.
.
.
.
В Индии есть места, где за заключение межрелигиозного брака государство дает бонус, потому что такой союз с большой вероятностью подвергнется социальному остракизму и семье будет тяжело выживать без помощи.",3,,,2026-04-28 16:15:57
arzamas.academy,post,155109,"Хорошо ли вы себе представляете, как устроено бракосочетание в Индии? Давайте проверим!

В подкасте «Радио „Сарафан“» филолог Татьяна Дубянская рассказывает, как индийское кино совмещает представления о романтической любви с традиционным подходом к браку: https://open.arzamas.academy/a/2039/15401?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",7,4.0,6441.0,2026-04-28 15:58:18
arzamas.academy,comment,155109,"Правильный ответ
.
.
.
.
.
.
.
.
В Швейцарии снимали культовые болливудские фильмы про любовь. Богатые индийцы до сих пор едут туда на медовый месяц или просто в тур по местам съемок.",2,,,2026-04-28 15:59:47
arzamas.academy,comment,155109,Всё просто- в Швейцарии разрешён пиратский контент для частного пользования,0,,,2026-04-28 17:04:36
arzamas.academy,comment,155109,"Там нет мусора на улице, а еду не готовят на полу",1,,,2026-04-28 18:46:58
arzamas.academy,post,155102,"Японский Пушкин — в новом выпуске «Острова сокровищ»!

В гости к Анне Красильщик пришел филолог Петр Будрин, чтобы обсудить книгу «Врата» японского классика Сосэки Нацумэ. Как он стал национальной звездой? Зачем родители притворялись его бабушкой и дедушкой? Что скрывает его псевдоним и почему важнее всего человеческая близость?

Слушайте беседу на нашем сайте и в «Радио Arzamas»: https://open.arzamas.academy/a/2149/15451?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",21,13.0,8244.0,2026-04-28 12:01:31
arzamas.academy,post,155089,"Откровение Иоанна Богослова написал не Иоанн Богослов?

Третья лекция в курсе библеиста Анны Шмаиной-Великановой «Апокалипсис. Как правильно его ждать» посвящена обстоятельствам, при которых создавался текст Откровения. Вопрос об авторстве — а именно о том, написал ли Апокалипсис тот самый Иоанн-евангелист, — один из самых сложных в изучении: очевидного ответа он не имеет, а у каждой из двух противоборствующих сторон есть свои сильные аргументы. Например, противники авторства Иоанна указывают на очевидное несовпадение лексики в Евангелии от Иоанна и в Откровении, а также на наличие в последнем синтаксических и лексических ошибок. 

О том, как к этому вопросу подходят сторонники авторства Иоанна, а также о консенсусной версии можно послушать на нашем сайте и в приложении «Радио Arzamas»: https://open.arzamas.academy/a/2187/15442?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",32,13.0,10275.0,2026-04-27 19:00:07
arzamas.academy,post,155084,"Как распознать скандинав­скую национально-романтическую живопись?

Один из главных признаков — изображение светлой летней ночи. Благодаря своему географическому положению Норвегия, Швеция, Дания и более северные регионы Европы объединены особым природным явлением — светлыми летними ночами, — которое, наряду с зимними пейзажами, стало наиболее узнаваемым мотивом северной визуальной культуры. Летняя ночь объединяет романтическое, символистское и неоромантическое восприятие природы: свет, созданная им атмосфера и пейзаж становятся носителями психологи­ческих и эротических смыслов.

Наиболее личное и драматическое прочтение темы принадлежит Эдварду Мунку. На картине «Ингер на берегу (Летняя ночь)» фигура замкнута в себе и словно сливается с берегом и морем. Мотив внутреннего диалога с природой становится характерным для ранних работ Мунка и предвосхищает эротизм и психологизм более поздней работы «Летняя ночь (Голос)», где северная ночь становится местом чувственного пробуждения, соединяющим переживания любви, желания и предчувствия смерти.

Подробнее о живописи Норвегии, Швеции и Дании середины XIX — начала XX века рассказываем в «Журнале»: https://arzamas.academy/mag/1400-landskap?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Эдвард Мунк. Ингер на берегу (Летняя ночь). 1889 год
Эдвард Мунк. Летняя ночь (Голос). 1896 год
Лауриц Андерсен Ринг. В июне. 1899 год
Харальд Сольберг. Летняя ночь. 1899 год
Рихард Берг. Северный летний вечер. 1899–1900 годы",155,40.0,22347.0,2026-04-27 15:01:13
arzamas.academy,comment,155084,"Лауриц Андерсен Ринг. В июне. 1899 год
Палитра Уайета.....",0,,,2026-04-28 13:48:53
arzamas.academy,comment,155084,"Отбитые ветрами, 
Никакого интернету, 
Положи панталоны по ветру....
Пока не родила 50 детей от такого же чумабохалы.",0,,,2026-04-28 18:26:27
arzamas.academy,post,155063,"В рубрике «Слова культур» — Вьетнам!  

Как перенос могилы родителей связан с успешной сдачей экзаменов? Какого духа — покровителя нации называют дядюшкой? Что не так с числом четыре? И почему стихи для любимой во время разлуки и приготовление горячего ужина, когда она простудилась, — это разные виды любви? 

Вьетнамовед Юлия Минина объясняет, по каким принципам живут дети дракона, потомки феи: https://arzamas.academy/mag/1406-viet?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel",55,18.0,9928.0,2026-04-27 11:00:06
arzamas.academy,comment,155063,"Спасибо, как раз недавно был во Вьетнаме.",1,,,2026-04-27 22:52:06
arzamas.academy,post,155001,"День рождения Псоя Короленко! 

В честь праздника — поем, слушаем музыку и истории о ней! В подкасте Псоя — Джо Дассен, The Beatles, Алла Пугачева, Boney M., Владимир Шаинский, другие легендарные фигуры музыкального мира и их хиты, а в концерте — почти 40 минут песен о любви. 

Подкаст «Песня за песней»
https://open.arzamas.academy/a/2133?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Видеоконцерт «Философские размышления Псоя Короленко о любви»
https://arzamas.academy/materials/1641?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Псой Короленко. Выступление в Израиле. 2025 год
Wikimedia Commons",387,69.0,117914.0,2026-04-26 19:00:08
arzamas.academy,comment,155001,"Огромное спасибо за ваше совместное ""Песня за песней"". Только то, как чувак на разные голоса исполняет на десятке языков и изображает десятки инструментов - отвал башки.",5,,,2026-04-26 19:34:47
arzamas.academy,comment,155001,Не надо таким мешать: пусть лучше  поют песни.,2,,,2026-04-26 23:02:56
arzamas.academy,comment,155001,Псой жив!!!,18,,,2026-04-27 00:04:13
arzamas.academy,comment,155001,"Да, прикольный дяденька, вызывает уважение. 🌹",3,,,2026-04-27 09:46:32
arzamas.academy,comment,155001,"Очень люблю его исполнение песни Городницкого ""Снег"" на идиш.",1,,,2026-04-27 09:53:55
arzamas.academy,comment,155001,"С ДР!!!! ""Буратино был тупой!"" ""пой как дрова!!!"" 🤣",2,,,2026-04-27 10:27:54
arzamas.academy,comment,155001,BRAVO ❤️🌹🎉,0,,,2026-04-27 13:15:39
arzamas.academy,comment,155001,Юродивый мудрец... многая ему лета!,0,,,2026-04-27 19:01:54
arzamas.academy,comment,155001,Псой очень хорош и интересен. Многая и благая лета!,1,,,2026-04-28 10:29:47
arzamas.academy,comment,155001,Величайший!,0,,,2026-04-28 18:06:59
arzamas.academy,comment,155001,"Помним -помним, водевильчик))",0,,,2026-04-30 09:01:59
arzamas.academy,comment,155001,Припев два раза! Припев два раза!,0,,,2026-04-30 17:16:37
arzamas.academy,post,154997,"«Переводил я где-то год, и раз семь после этого болел простудой: „1984“ — отравленная книжка, и эта зараза проникает в тебя. Ты же, когда переводишь, больше общаешься с книжкой, чем с родственниками, которые с тобой в одном доме живут. Переводить роман Оруэлла — это чистая отрава. Я перевел целую книжку его эссе — там всё наоборот».

Сегодня отмечает день рождения переводчик Виктор Голышев. В подборке — рассказ о переводе самой знаменитой книги Джорджа Оруэлла, жизни в Тарусе, облаке смыслов и о том, зачем останавливаться, читая Андрея Платонова. А еще слушайте наш аудиоспектакль «1984» с актерами кино и театра. 

«1984». Аудиоспектакль
https://open.arzamas.academy/a/2?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel   

Личный XX век. Виктор Голышев
https://open.arzamas.academy/a/2121?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel

«Если ты не умеешь прочесть книжку, не берись переводить»
https://arzamas.academy/mag/1291-golyshev?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 
 
«„1984“ — отравленная книжка, и эта зараза проникает в тебя»
https://arzamas.academy/mag/1037-golyshev1984?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel
 
Как переводить книги — рассказывает Виктор Голышев
https://arzamas.academy/mag/375-golyshev?utm_source=vk&utm_medium=post&utm_campaign=arzamas_channel 

Виктор Голышев во время работы инженером. 1961 год
© Из личного архива Виктора Голышева",2181,844.0,365284.0,2026-04-26 15:00:09
arzamas.academy,comment,154997,"спасибо, хороший текст про Оруэлла",13,,,2026-04-26 15:17:28
arzamas.academy,comment,154997,"Страшнее всяких других книг ужасов 😳. С.Кинг по сравнению с 1984 для меня, как детская сказка.",34,,,2026-04-26 18:37:07
arzamas.academy,comment,154997,А жить-то в этой книжке как приятно)),72,,,2026-04-26 18:59:34
arzamas.academy,comment,154997,Эссе у Оруэлла классные,4,,,2026-04-26 19:27:18
arzamas.academy,comment,154997,Учите язык и читайте в подлиннике. Они вам напереводят....,5,,,2026-04-26 20:30:00
arzamas.academy,comment,154997,Задолбали с этим Оруэлом. Срать ку чей!,13,,,2026-04-26 20:37:47
arzamas.academy,comment,154997,"в заводном апельсине гораздо больше боли, он прям пропитан тогдашним состоянием бёрджесса. а 1984 вообще самый слабый роман блэра",6,,,2026-04-26 21:12:54
arzamas.academy,comment,154997,"Про ""Скотный двор"" ни слова)))",1,,,2026-04-26 21:13:53
arzamas.academy,comment,154997,"По мне так ""О, чудный новый мир"" страшнее. Безысходностью.",11,,,2026-04-26 22:17:15
arzamas.academy,comment,154997,"В ссср эта книга была запрещена. Но, теперь все это далекое прошлое. Давно проехали. Другие времена на дворе.Страна другая. Ее спасать надо.",0,,,2026-04-26 22:58:57
arzamas.academy,comment,154997,"А всё правильно у оруэлы- на западе вон ползарплты отдай за благоденствия, ещё за кошек с собаками плати? Нах так за пачку Мальборо 20 баксов отдавать?",0,,,2026-04-26 23:22:15
arzamas.academy,comment,154997,"Между прочим, Бродский посвятил Голышеву одно из своих стихотворений - ""1972 год"". И, кроме Оруэлла, Голышев перевел тонну англоязычной литературы (американской, в основном, насколько я помню). В том числе ""Над кукушкиным гнездом"" и ""Вся королевская рать"". Как-то все так зациклились на ""1984"", что в этом посте Голышев воспринимается скорее как бесплатное приложение к самой распиаренной антиутопии XX века, а он ведь глыба художественного перевода.",51,,,2026-04-26 23:25:09
arzamas.academy,comment,154997,Мой любимый переводчик!,4,,,2026-04-27 01:12:41
arzamas.academy,comment,154997,"Ой, сколько протестунов в комментариях,  бедненькие: им так же плохо, но они героически выживают🤪.  Как вы уже надоели",6,,,2026-04-27 04:53:11
arzamas.academy,comment,154997,Провидец.,2,,,2026-04-27 06:50:10
arzamas.academy,comment,154997,,1,,,2026-04-27 09:06:57
arzamas.academy,comment,154997,"Долгие лета великому переводчику, умнейшему человеку!",9,,,2026-04-27 10:01:24
arzamas.academy,comment,154997,"Позволю себе дать еще одну ссылку - встреча с В.П. Голышевым в доме-музее Б.Л. Пастернака в Переделкино, 30 июня 2018 года.
https://yandex.ru/video/preview/12505487729920917901",5,,,2026-04-27 10:08:48
arzamas.academy,comment,154997,"Че, правда по глазам ударила",0,,,2026-04-27 13:44:46
arzamas.academy,comment,154997,"Оруэлл великолепен. И увы, актуален.",6,,,2026-04-27 14:01:01
arzamas.academy,comment,154997,"О! Великий Виктор Петрович, без всяких великий! ""1984"" это да("" Лев и единорог"" там же)! Но ведь ещё и Фолкнер, Уоррен, Кизи, Буковски,..Да всех и не упомнишь! Спасибо за все, все, все переводы!",8,,,2026-04-27 15:29:09
arzamas.academy,comment,154997,">жизни в Тарусе

🥰",0,,,2026-04-27 15:32:46
arzamas.academy,comment,154997,"Я читала Оруэлла лет в 20. Для подростка это книга была бы мощной, наверное. Это именно под бунтариэский уровень лет 15-17. Меня тогда не особо впечатлила уже.",1,,,2026-04-27 20:21:23
arzamas.academy,comment,154997,"Это просто потрясающий перевод Кена Кизи  ""Пролетая над гнездом кукушки""!!!!
Впервые я прочитала этот роман в 1987 в журнале Новый Мир.
Мне было 16.  Я поняла этот стиль изложения со 2-й минуты! И он потряс меня... как и сам роман. А это огромнейшая заслуга перевода!!
В течение жизни я время от времени перечитываю эту книгу.
Вот буквально месяц назад еще раз освежила в памяти...
Не теряется интерес и актуальность!!
И только ЭТОТ ПЕРЕВОД!! По-прежнему потрясает до глубины души.",4,,,2026-04-28 00:26:12
arzamas.academy,comment,154997,Виктор Голышев стал основным «русским голосом» Бродского-эссеиста..👏,1,,,2026-04-28 01:20:31
arzamas.academy,comment,154997,"Just completed villa elevator project:😀
-— Beautiful wide door pocket and arrival light.
-— Marble backplate and side mirror😍

You can know more here:👉
https://www.fujielevatorgroup.com/home-elevator/fuji-morden-home-elevator.html",0,,,2026-04-28 02:56:19
arzamas.academy,comment,154997,Кто он он так похож  на знакомого,0,,,2026-04-28 21:22:56
arzamas.academy,comment,154997,"Недавно прослушала книгу ""1984"". Согласна, это зараза. Боюсь, что не о прошлом, а о будущем...",0,,,2026-04-29 08:53:37
arzamas.academy,comment,154997,"У меня настоящее рвотное ощущение после прочтения ""1984"", честно прочитала до конца, но возвращаться к этой книге категорически не хочу! 
Абсолютно согласна с переводчиком!",1,,,2026-04-29 11:08:52
arzamas.academy,comment,154997,"Оруэлл классный, но 1984 не люблю",0,,,2026-04-29 21:06:25
arzamas.academy,comment,154997,"1984 начала читать, и не могла отделаться, что всё это в нашей жизни было...дочитать не смогла, депрессию навевает.",0,,,2026-04-30 10:56:38
arzamas.academy,comment,154997,"Добралась таки с полгода назад ""1984"" прочитать. Еле домучила. Любопытная вещь, но... Чего-то мне в ней не хватило. Жизни что ли, правдоподобия, людей - что-то очень холодно-хаотично-безумное. Чем то с ""Градом обреченным"" Стругацих перекликается. ""Град..."" я бросила, прочитав 3/4, ниасилила🤪",0,,,2026-04-30 14:05:20
arzamas.academy,comment,154997,Orwell was an unspeakably nasty individual. A traitor to the left and he actually fought communists in Catalonia. His book was enthusiastically funded by the CIA.,0,,,2026-04-30 21:26:25
arzamas.academy,comment,154997,У меня перевод 1984- Д.Иванова и В.Недошивина.(1992г),0,,,2026-05-01 07:18:18
arzamas.academy,comment,154997,"очевидно автор вложил очень много собственных негативных эмоций, поэтому эмоциональное подключение не только к героям книги, но и к автору и вызывает такой ответ организма.. но без такого подключения трудно сделать хороший перевод.",0,,,2026-05-01 10:12:20
arzamas.academy,comment,154997,"Лучший переводчик Оруэлла, imho))",0,,,2026-05-01 10:55:27
arzamas.academy,post,154985,"Горчичники и другие народные методы лечения, а еще стихи Германа Лукомникова — в дайджесте детского аудиоприложения «Гусьгусь»: 

🥔 Вышел новый эпизод подкаста о медицинских мифах «Не слипнется!». Школьник Лев Гаррос и педиатр Сергей Бутрий обсуждают разные странные традиции лечения не таких уж далеких времен. Подробно обсуждаем, почему лучше забыть про луковые и картофельные ингаляции, йодные сеточки и банки.  
https://open.goosegoose.academy/radio?az_action=navigate&az_id=65&az_screen=Album&az_type=podcasts&gg=1&utm_source=vk&utm_medium=arz_goosedigest&utm_campaign=podcast

🪶 «Привет! Я поэт» — продолжаем выпускать стихи Германа Лукомникова про буковки, поэтов, насекомых, пахлаву, кирпичики и настоящую жизнь. Следующая и последняя часть выйдет 2 мая. https://open.goosegoose.academy/radio?az_action=navigate&az_id=4&az_rubric_id=rubric-172&az_screen=Album&az_type=podcasts&gg=1&utm_source=vk&utm_medium=arz_goosedigest&utm_campaign=audiobook

ла.
Не надо
звать
врача.
Начинай
читать
с нача-",27,7.0,15726.0,2026-04-26 11:39:07
arzamas.academy,comment,154985,Сюр детства и еще заваркой из чайника нос промывать 🤡🤣,1,,,2026-04-26 11:43:53
arzamas.academy,comment,154985,"Картошка похожа, на всё кроме картошки: бородавку, опухоль, шрам, мозоль, пятку потрескавшуюся, что-то органическое и злокачественное.",0,,,2026-04-26 11:57:32
arzamas.academy,comment,154985,"Где-то прочитал/услышал, а потом пристрастился по-настоящему - горячее пиво. Не тёпленькое, а прям чтоб обжигало. Промозглой осенью или зимой, с мороза - прям ух!",2,,,2026-04-26 12:22:17
arzamas.academy,comment,154985,Бутрий вернулся? Или из Грузии вещает?,0,,,2026-04-26 13:30:08
arzamas.academy,comment,154985,"Все эти вещи реально работали в детстве.
 Отчасти плацебо, отчасти отвлекающий эффект, отчасти проявление заботы со стороны обычно вечно занятых родителей, отчасти страх/нежелание повторения процедуры и мобилизация организма – выздороветь, чтоб это не повторилось
🤷‍♂️
Остальное – бла-бла и зарабатывание денежек, хайп то есть",0,,,2026-04-26 13:40:07
